date,temp,humidity,precip,windspeed,sealevelpressure,visibility,solarradiation
2023-10-17,8.5,84.8,0.0,22.3,1019.3,34.8,75.2
2023-10-18,9.0,77.9,2.3,25.9,1006.0,23.8,71.2
2023-10-19,14.5,94.0,11.4,22.3,990.8,21.2,39.8
2023-10-20,11.9,97.4,20.4,25.9,981.0,10.4,7.0
2023-10-21,13.1,88.0,3.5,22.3,989.4,27.7,39.9
2023-10-22,12.1,87.3,3.9,25.9,1003.6,32.3,55.9
2023-10-23,9.9,95.7,0.5,18.0,1011.1,5.9,43.8
2023-10-24,11.6,92.3,6.5,22.3,1001.3,23.1,32.6
2023-10-25,9.3,96.8,15.3,18.0,996.8,15.7,14.5
2023-10-26,9.4,97.6,0.1,11.2,995.6,4.8,36.0
2023-10-27,10.6,97.9,11.4,14.8,992.0,9.5,20.5
2023-10-28,11.4,88.6,3.0,18.4,994.4,29.3,48.5
2023-10-29,13.0,82.2,9.5,31.7,991.5,38.8,35.4
2023-10-30,11.2,90.4,13.0,18.4,997.5,28.8,27.0
2023-10-31,11.0,93.7,18.6,18.0,1000.7,17.9,29.8
2023-11-01,12.4,88.5,4.9,25.9,997.8,32.6,31.5
2023-11-02,11.0,80.0,8.7,46.4,976.4,33.6,21.5
2023-11-03,9.6,83.3,7.9,32.4,981.6,31,40.1
