date,temp,humidity,precip,windspeed,sealevelpressure,visibility,solarradiation
2024-10-17,16.9,86.0,0.6,18.4,1010.0,37.1,43.0
2024-10-18,15.5,97.3,3.9,7.6,1014.0,4.5,42.9
2024-10-19,14.7,89.9,1.6,14.8,1014.1,22.8,43.5
2024-10-20,15.5,83.8,0.5,29.5,1016.0,41.5,0.0
2024-10-21,14.4,92.7,4.3,21.2,1020.6,22.0,27.8
2024-10-22,11.4,92.8,4.9,19.4,1026.9,22.6,57.0
2024-10-23,11.2,97.3,0.0,13.0,1032.8,6.5,12.5
2024-10-24,10.4,94.0,0.0,20.5,1024.7,13.0,62.5
2024-10-25,13.6,92.2,0.5,11.9,1016.8,24.0,93.0
2024-10-26,13.7,91.5,0.0,11.9,1016.3,23.3,8.0
2024-10-27,13.2,87.1,0.1,20.5,1019.4,10.4,28.6
2024-10-28,12.4,91.8,1.1,31.7,1021.8,12.8,27.3
2024-10-29,13.8,95.9,0.2,20.5,1023.1,8.1,16.0
2024-10-30,12.7,92.9,0.6,9.4,1027.5,12.5,32.8
2024-10-31,12.5,89.9,0.0,11.2,1027.1,17.1,70.6
