date,wind_speed,mean_temp,global_radiation,percipitation,pressure,minimum_visibility,humidity,weekday
2017-01-01,39,5,0,19,10234,3,97,Sunday
2017-01-02,22,30,43,5,10255,25,87,Monday
2017-01-03,43,50,5,7,10254,61,85,Tuesday
2017-01-04,47,58,33,18,10234,57,75,Wednesday
2017-01-05,23,0,58,-1,10404,65,81,Thursday
2017-01-06,27,-30,62,0,10415,65,77,Friday
2017-01-07,32,-2,0,52,10347,1,97,Saturday
2017-01-08,14,43,0,0,10320,2,97,Sunday
2017-01-09,39,48,0,48,10295,2,97,Monday
2017-01-10,29,53,10,38,10112,47,94,Tuesday
2017-01-11,63,72,28,5,10100,46,77,Wednesday
2017-01-12,47,52,14,143,10097,9,80,Thursday
2017-01-13,49,31,32,96,10068,9,81,Friday
2017-01-14,33,18,23,51,10175,49,87,Saturday
2017-01-15,16,7,33,0,10239,50,91,Sunday
2017-01-16,18,-16,18,-1,10348,4,95,Monday
2017-01-17,18,-34,36,0,10402,3,90,Tuesday
2017-01-18,13,-38,18,-1,10412,6,95,Wednesday
2017-01-19,13,-20,67,0,10391,28,86,Thursday
2017-01-20,20,-3,71,0,10366,56,71,Friday
2017-01-21,23,-2,75,0,10329,39,87,Saturday
2017-01-22,11,-17,75,0,10281,33,87,Sunday
2017-01-23,20,16,2,-1,10282,1,91,Monday
2017-01-24,20,8,0,3,10315,1,99,Tuesday
2017-01-25,24,-11,0,0,10319,22,86,Wednesday
2017-01-26,31,-28,65,0,10281,57,82,Thursday
2017-01-27,35,8,57,0,10189,56,75,Friday
2017-01-28,36,54,16,-1,10166,62,72,Saturday
2017-01-29,38,47,5,36,10171,56,90,Sunday
2017-01-30,37,49,0,65,10150,20,93,Monday
2017-01-31,23,37,8,0,10180,56,84,Tuesday
2017-02-01,48,34,0,12,10173,43,87,Wednesday
2017-02-02,44,86,31,10,10086,47,87,Thursday
2017-02-03,33,86,15,1,10034,61,83,Friday
2017-02-04,26,57,2,83,10005,18,91,Saturday
2017-02-05,21,44,41,-1,10116,2,92,Sunday
2017-02-06,18,43,0,0,10199,31,91,Monday
2017-02-07,42,24,0,25,10193,21,93,Tuesday
