date,NO2,O3,wind_speed,mean_temp,global_radiation,percipitation,pressure,minimum_visibility,humidity,weekday
2010-01-01,22.688677536231886,37.75117391304348,38,-16,318,-1,10026,57,78,Friday
2010-01-02,55.545344202898555,5.537260869565217,31,-11,117,1,10140,37,91,Saturday
2010-01-03,28.826630434782608,20.050695652173914,25,-39,388,0,10220,50,84,Sunday
2010-01-04,62.202516025641025,2.6131499999999996,31,-29,179,-1,10159,2,90,Monday
2010-01-05,65.62636775362319,1.0739583333333333,28,-7,253,9,10053,2,91,Tuesday
2010-01-06,69.347875,2.9512666666666667,25,-30,455,1,10040,24,86,Wednesday
2010-01-07,69.80791666666666,4.335909090909091,20,-49,408,-1,10110,4,89,Thursday
2010-01-08,47.74717391304348,,36,-50,216,0,10216,18,87,Friday
2010-01-09,14.414791666666666,,73,-22,166,10,10196,23,84,Saturday
2010-01-10,16.810208333333332,,35,-5,149,11,10171,31,87,Sunday
2010-01-11,27.317916666666672,29.806739130434785,25,-4,125,-1,10193,15,87,Monday
2010-01-12,40.060625,13.297499999999998,38,-17,222,-1,10135,27,83,Tuesday
2010-01-13,48.160374999999995,6.1092,48,-30,223,-1,10049,24,78,Wednesday
2010-01-14,56.146874999999994,2.4387916666666665,25,6,393,0,10087,14,89,Thursday
2010-01-15,56.17662137681159,1.1592173913043478,24,13,114,0,10210,8,92,Friday
2010-01-16,39.838541666666664,8.212958333333333,54,10,150,77,10141,12,90,Saturday
2010-01-17,42.36833333333333,10.580708333333334,28,39,183,14,10138,1,93,Sunday
2010-01-18,56.128750000000004,3.816833333333333,32,40,110,12,10240,2,97,Monday
2010-01-19,50.05854166666666,1.9627083333333333,16,40,133,3,10226,2,96,Tuesday
2010-01-20,41.63479166666667,4.493375,39,27,417,-1,10156,8,90,Wednesday
2010-01-21,41.78895833333334,4.15625,31,27,156,-1,10215,37,87,Thursday
2010-01-22,44.546458333333334,1.1760833333333334,34,22,408,0,10241,35,88,Friday
2010-01-23,41.91124094202898,2.837173913043478,35,13,143,50,10226,14,88,Saturday
2010-01-24,34.564266304347825,2.040086956521739,18,-2,134,11,10238,18,93,Sunday
2010-01-25,48.60267857142857,0.5831428571428571,23,-32,160,0,10313,18,86,Monday
2010-01-26,55.94480072463769,,25,-75,689,0,10407,34,78,Tuesday
2010-01-27,66.88886775362319,7.192304347826087,38,-23,197,39,10248,15,82,Wednesday
2010-01-28,38.67576992753623,41.12878260869565,34,32,341,13,10055,60,82,Thursday
2010-01-29,42.36496376811594,30.086043478260873,35,19,130,85,9873,43,90,Friday
2010-01-30,32.34583333333333,39.541043478260875,28,0,710,75,9943,16,86,Saturday
2010-01-31,42.24664772727273,34.34478260869565,34,12,538,1,10025,62,81,Sunday
2010-02-01,62.110708333333335,21.574499999999997,32,1,343,31,10085,23,91,Monday
2010-02-02,53.89333333333333,20.81504166666667,53,23,85,182,10040,41,92,Tuesday
2010-02-03,60.900625000000005,22.97941666666667,30,22,603,3,10086,50,85,Wednesday
2010-02-04,67.01508333333334,2.7359333333333336,36,58,210,23,10096,12,92,Thursday
2010-02-05,68.38499999999999,1.9278666666666668,34,44,137,11,10052,1,93,Friday
2010-02-06,41.96333333333333,,21,28,252,-1,10144,0,97,Saturday
2010-02-07,22.729583333333334,21.734826086956524,21,12,153,0,10211,12,91,Sunday
2010-02-08,32.20791666666666,25.443833333333334,44,-32,400,0,10128,11,82,Monday
2010-02-09,26.62680303030303,44.30065217391304,40,-33,496,-1,10095,50,73,Tuesday
2010-02-10,29.320208333333333,45.60058333333333,38,-31,380,17,10125,12,84,Wednesday
2010-02-11,23.46770833333333,58.69083333333333,54,-25,620,-1,10179,58,75,Thursday
2010-02-12,22.139999999999997,,39,-28,911,0,10208,59,77,Friday
2010-02-13,23.2125,49.09020833333333,28,-17,229,-1,10194,65,75,Saturday
2010-02-14,30.433958333333333,,22,-23,221,5,10141,31,82,Sunday
2010-02-15,47.53604166666667,,21,-36,514,5,10075,15,79,Monday
2010-02-16,48.86283333333333,39.1916,45,-9,372,1,9998,29,77,Tuesday
2010-02-17,75.70291666666667,,28,-2,576,1,9939,37,75,Wednesday
2010-02-18,74.38145833333334,9.06875,30,32,269,7,9937,15,87,Thursday
2010-02-19,42.590833333333336,,49,33,127,2,9914,57,86,Friday
2010-02-20,49.83458333333333,,37,14,645,2,9968,23,81,Saturday
2010-02-21,40.094166666666666,,31,6,262,39,9969,1,90,Sunday
2010-02-22,51.921458333333334,10.313375,30,40,133,131,9872,23,94,Monday
2010-02-23,28.18854166666667,35.68570833333333,45,21,546,5,9946,17,86,Tuesday
2010-02-24,49.3875,13.051041666666668,33,63,372,18,9956,2,92,Wednesday
2010-02-25,37.28991071428571,23.021285714285714,52,82,271,53,9904,27,89,Thursday
2010-02-26,31.675833333333337,32.529083333333325,60,73,258,11,9892,60,81,Friday
2010-02-27,34.13666666666666,,48,68,350,21,9969,56,79,Saturday
2010-02-28,20.839375,40.605124999999994,56,64,152,202,9838,38,87,Sunday
2010-03-01,37.25839015151515,34.59878260869565,41,42,766,27,10090,58,82,Monday
2010-03-02,60.00770833333333,18.38321739130435,24,29,732,0,10218,44,82,Tuesday
2010-03-03,55.38172348484848,26.52878260869565,23,20,1084,0,10232,5,80,Wednesday
2010-03-04,25.14873106060606,42.57343478260869,34,15,1181,0,10231,1,77,Thursday
2010-03-05,43.43541666666667,34.24585714285714,37,18,681,56,10238,41,82,Friday
2010-03-06,16.21547348484848,,53,8,1275,2,10259,68,64,Saturday
2010-03-07,25.511231060606057,,34,-10,1350,0,10343,75,57,Sunday
2010-03-08,57.55714015151514,,23,1,467,9,10284,27,83,Monday
2010-03-09,44.659958333333336,,27,5,1411,0,10290,40,72,Tuesday
2010-03-10,31.193922101449274,,46,7,1351,0,10274,36,76,Wednesday
2010-03-11,17.307083333333335,,36,26,724,-1,10217,58,78,Thursday
2010-03-12,60.62804166666666,22.532285714285713,26,46,470,-1,10201,33,74,Friday
2010-03-13,29.33791666666667,45.93541666666666,36,52,514,1,10254,50,81,Saturday
2010-03-14,23.810625,44.168291666666676,40,62,597,-1,10232,60,80,Sunday
2010-03-15,36.150000000000006,43.20675,42,63,547,101,10225,56,86,Monday
2010-03-16,39.968369565217394,37.45341666666666,28,63,806,2,10253,30,79,Tuesday
2010-03-17,61.71875,16.94682608695652,36,84,1186,0,10233,50,68,Wednesday
2010-03-18,55.7885119047619,32.06331818181818,35,108,1153,0,10188,50,60,Thursday
2010-03-19,46.345000000000006,21.32713043478261,39,125,315,26,10137,22,79,Friday
2010-03-20,25.282916666666665,35.61334782608696,50,136,369,205,10066,17,88,Saturday
2010-03-21,22.696250000000003,51.22317391304348,32,86,1132,3,10147,18,81,Sunday
2010-03-22,52.70916666666667,21.895130434782608,31,78,1020,-1,10204,4,77,Monday
2010-03-23,51.55375,25.245124999999998,25,98,1529,-1,10184,14,74,Tuesday
2010-03-24,61.75333333333333,,36,124,1051,0,10097,58,70,Wednesday
2010-03-25,43.13291666666667,,43,146,1402,7,10041,58,66,Thursday
2010-03-26,29.56555555555556,,33,106,529,15,10051,60,76,Friday
2010-03-27,,,43,98,966,6,10050,56,75,Saturday
2010-03-28,,,46,91,836,4,10072,58,77,Sunday
2010-03-29,,,34,101,924,32,10025,41,82,Monday
2010-03-30,,,45,102,445,29,9924,60,83,Tuesday
2010-03-31,,,72,65,832,21,9953,58,75,Wednesday
2010-04-01,30.094666666666665,,58,52,1236,30,10074,26,72,Thursday
2010-04-02,27.388695652173915,,54,78,1608,15,10094,60,65,Friday
2010-04-03,25.51695652173913,,33,73,659,86,10057,56,86,Saturday
2010-04-04,23.831304347826087,,36,71,642,36,10092,38,88,Sunday
2010-04-05,30.712173913043483,,35,78,1168,-1,10243,57,75,Monday
2010-04-06,40.89689393939394,,38,110,1940,0,10207,70,61,Tuesday
2010-04-07,52.220416666666665,,31,136,1584,2,10173,57,61,Wednesday
